restaurant_name,tfidf_keywords
Happy Land,"['disgusting', 'visiting absolutely', 'kind informative', 'disgusting rice', 'steamed', 'chinese birmingham', 'sea bass', 'mushy', 'definitely visiting', 'bass']"
Devon House Jamaican Restaurant & Bar,"['rice', 'rice peas', '95', 'peas', 'caribbean', 'flavours', 'chicken', 'sauce', 'received', 'chicken rice']"
Edgbaston Physiotherapy Clinic,"['pain', 'george', 'sports', 'highly', 'clinic', 'expertise', 'approach', 'years', 'process', 'months']"
Gourmet Burger Kitchen,"['burger', 'tablet', 'onion', 'gbk', 'onion rings', 'rings', 'chicken burger', 'fries', 'chicken', 'independent']"
Lifestyles 2day,['nan']
Pad Thai Restaurant & Karaoke Bar,"['thai', 'karaoke', 'pad', 'pad thai', 'set menu', 'ribs', 'curry', 'fried', 'set', 'rice']"
Hotel du Vin Birmingham,"['bath', 'blinds', 'bathroom', 'room', 'workers', 'breakfast', 'suite', 'zero', 'stayed', 'hotel']"
Pepe's,"['called store', 'piri', 'deliveroo', 'ice', 'specially', 'joke', 'sick', 'chicken', 'drink', 'ask']"
M&S Food To Go,"['store', 'products', 'product', 'visited store', 'store clean', 'tills', 'section', 'regularly', 'shop', 'price']"
Berlioz Bar,['nan']
Itihaas,"['10', 'thali', 'factor', 'service 10', 'product', 'service', 'table', 'star', 'away quality', 'news']"
Ming Wah,"['slop', 'bin', 'phoned', 'tasteless', 'curry sauce', 'hardly', 'salt', 'avoid', 'curry', 'poor']"
Caffè Nero,"['chocolate', 'cafe', 'hot chocolate', 'seating', 'white', 'white chocolate', 'plenty seating', 'book', 'seating area', 'shop']"
grounded. Selly Oak,"['students', 'coffe', '10', 'health', '10 minutes', 'queue', 'asking', 'counter', 'coffee', 'help']"
Vegan Munch UK,"['wish', 'vegan', 'big portions', 'portions', 'air conditioning', 'conditioning', 'sauces', 'seasoned', 'big', 'air']"
Costa Coffee,"['costa', 'coffee', 'mess', 'child', 'young', 'costa coffee', 'young lady', 'location', 'table', 'drink']"
The Alchemist Colmore Row,"['sister', 'cocktail', 'drinks', 'particularly', 'night', 'amazing', 'cocktails', 'presented', 'secluded area', 'disconnected']"
Pepe's,"['chicken', 'rice', 'pepe', 'local', 'impression', 'sticky', 'spicy', 'days', 'review', 'way experience']"
Suizen's Noodle Bar 广东楼,"['chinese', 'cash', 'portion sizes', 'affordable', 'big', 'sizes', 'prices', 'doesn', 'generous', 'rice']"
Niche Cafe,"['small cosy', 'cafe', 'breakfast', 'honest', 'cosy', 'earl grey', 'welcome friendly', 'months weeks', 'price ve', 'cosy environment']"
The Old Rep Theatre,"['theatre', 'station', 'stage', 'new', 'acted', 'view stage', 'rep', 'view', 'street station', 'seats']"
BLANC NRI Birmingham Indian Cuisine,"['blown away', 'blown', 'prawns', 'indian', 'absolutely', 'lamb chops', 'chops', 'hippodrome', 'thinking', 'away']"
Costa Coffee,"['costa', 'coffee', 'drive', 'hair', 'peace', 'black hair', 'blonde', 'lid', 'ways', 'parking']"
Coffee Joint,"['interior', 'decor', 'did try', 'cafe just', 'people little', 'hustle bustle', 'little wait', 'hustle', 'service gentleman', 'furnished']"
Royal 1 club(皇家一号）,"['pounds', 'chinese', 'karaoke', '30', 'fees', 'said yes', 'chopsticks', 'misleading', 'hours', 'charging']"
Caffè Nero,"['closing', 'cafe', 'separately', 'plenty seating', 'seating', 'staff member', 'station', 'drinks', 'recommend stopping', 'chat friends']"
"The Restaurant Hub, Selly Oak","['pedro', 'service pedro', 'eating experience', 'service', 'vegetarian', 'eating', 'team really', 'usually ok', 'times usually', 'quick hot']"
King Potatoes,['nan']
Royal Watan Kashmiri Restaurant,"['royal', 'mocktails', 'kick', 'xx', 'unique', 'amazing', 'birthday', 'chips', 'main', 'reasonable']"
Evolve @ Grounded.,['nan']
The Lost & Found Birmingham,"['decoration', 'private', 'lost', 'bottomless brunch', 'arrived', 'helpful friendly', 'bottomless', 'building', 'booking', 'party']"
Bacchus Bar,"['visited quiet', 'bar', 'decor', 'beers', 'night', 'wife', 'hotel', 'menu', 'quiet', 'service decor']"
Macdonald Burlington Hotel,"['hotel', 'room', 'breakfast', 'clean', 'stay', 'central', 'location', 'central birmingham', 'bar', 'bathroom']"
The Craven Arms,"['pub', 'gig', 'beers', 'mild', 'local', 'dark', 'ales', 'pre', 'excellent', 'friendly']"
"TOCA Social, Birmingham","['fun', 'social', 'game', 'birthday', 'lot', 'friendly helpful', 'definitely recommend', 'thing enjoyed', 'didn main', 'expect staff']"
Espresso Station,"['milk', 'skimmed', 'semi', 'drink', 'coffee', 'situation', 'need', 'items', 'train', 'server']"
Centenary Lounge,"['train', 'sausage', 'waiting train', 'station', 'interesting', 'train station', 'latte', 'waiting', 'enjoy lovely', 'sausage bap']"
the garrison,"['grab', 'average', 'pint', 'pub', 'nan', 'birmingham']"
Bella Italia - Birmingham,"['child', 'bella', 'engaging', 'lovely experience', 'tables', 'hot', 'saturday', 'server', 'lovely taste', 'today amazing']"
Coventry Building Society Birmingham City Centre,"['rates', 'branch', 'customers', 'ladies', 'helpful', 'financial', 'having lovely', 'high st', 'thay', 'society']"
The Big Bulls Head,"['pie', 'pub', 'lasagna', 'lovely', 'lounge', 'included', 'lunch', 'simply', 'traditional', 'style']"
The Mela Restaurant Birmingham,"['bland', 'reviews', 'notice', 'indian', 'isn', 'lamb', 'quite', 'curry', 'tell', 'pleasant']"
"Gabriels Pizza, Fish & Chips Harborne Birmingham","['chips', 'fish', 'shop', 'world', 'chippy', 'best', 'harborne', 'potatoes', 'spaces', 'yummy']"
Lunchi,"['british', 'disappointing', 'lady', 'chicken', 'sausage', 'impatient', 'deli', 'blonde', 'lady serving', 'cappuccino']"
Cafe Lovelife,"['brunch', 'ice', 'ice cream', 'cream', 'really', 'really appreciated', 'menu', 'dishes', 'salt', 'told']"
24 Carat Bistro,"['alley', 'rav', 'caribbean', 'curry', 'january', 'value cocktails', 'welcoming lovely', 'selection homemade', 'goat curry', 'really chicken']"
Marmaris Turkish Kitchen,"['turkish', 'friendly attentive', 'skewers', 'döner', 'friendly know', 'absolutely tender', 'popped passing', 'attentive experience', 'welcoming stopped', 'breads']"
Deli Heaven,"['popular venue', 'evolve', 'mo', 'friend lovely', 'work hard', 'intense', 'birmingham try', '10 thank', 'visit service', 'breakfast brunch']"
Pasta Di Piazza,"['italian', 'tiramisu', 'negative', 'dishes', 'pasta', 'solid', 'tastes', 'year', 'seated', 'classic']"
Kitty Café Birmingham,"['cats', 'playful', 'adorable', 'interact', 'true', 'lovely', 'children', 'say people', 'yay', 'cafe today']"
The Coffee Room,['nan']
Smoke + Ash Pizza,"['pizza', 'ash', 'smoke', 'kids', 'paul', 'wedding', 'planning', 'knowledge', 'pizzas', 'trouble']"
The Red Lion,"['sunday roast', 'sunday', 'roast', 'fault', 'half pint', 'service fabulous', 'takeaway containers', 'mash', 'tasty portion', 'service recommended']"
Rico Libre — Tapas with a Twist,"['scallops', 'tapas', 'prawns', 'service friendly', 'chose beef', '16 02', 'amazing visited', 'coming kitchen', 'overall ambience', 'paella']"
The Windsor,"['pub', 'pool table', 'pool', 'warm welcoming', 'selection', 'pint', 'prices', 'classic', 'local', 'vibe']"
Deli 17,"['tapas', 'deli', 'classy', 'meat', 'quality', 'board', 'quality drinks', 'high quality', 'pushed', 'sourced']"
Meriden Hub,['nan']
Holland & Barrett - Birmingham High Street,"['assistance', 'bag', 'help', 'store', 'purchase', 'lots', 'shopping', 'offering assistance', 'express dissatisfaction', 'help definitely']"
Chop and Wok,"['nan nan', 'nan', '10', 'smell', '10 10']"
Lane7 The Bullring (Birmingham),"['games', 'weekend', 'game', 'pump', 'damien', 'ryan', 'machine', 'connect', 'pads', 'package']"
River Studio,"['studio', 'photos', 'results', 'hesitate', 'photo', 'having', 'team', 'taken', 'experience', 'shooting']"
Cucina Rustica,"['pasta', 'soul', 'italian', 'feels', 'fun', 'won', 'dining', 'warm embrace', 'real magic', 'sit terrace']"
No.1 Chinese Cafe,"['bad experience', 'signature', 'noodles', 'guests', 'chinese', 'fried', 'hour', 'priced', 'poorly decorated', 'hot soup']"
Breakfast & Dessert Corner @ Rooster House (Halal),"['breakfast', '10', 'bone', 'pieces', 'halal', 'lamb', 'curry', 'business', 'just', 'son loved']"
Bisque & Bean,"['pottery', 'staff really', 'adorable staff', 'atmosphere calm', 'painted', 'adorable', 'helpful niece', 'want quiet', 'fun family', 'paint']"
Kafenion,"['busy', 'minutes later', 'minutes', 'pretty', 'stand', 'drinks', 'brunch', 'waited', 'later', 'didn']"
Station Bar,"['quiet', 'prices comfortable', 'busy apart', 'centre town', 'comfortable ok', 'friendly crowd', 'staff recommend', 'bells', 'recommend want', 'attentive service']"
Premier Inn Birmingham City Centre Bridge Street hotel,"['air', 'room', 'air conditioning', 'conditioning', 'sleep', 'disrupted', 'minute walk', 'stay', 'comfortable', 'shower']"
Domino's Pizza - Birmingham - Edgbaston,"['deals', 'domino', 'franchise', 'pizza', 'toppings', 'branch', 'lot', 'rocky', 'lot money', 'try restaurants']"
Argeela,"['birthday', 'shisha', 'birthday girl', 'experience', 'reasons', 'bottle', 'came', 'genuine', 'starters', 'girl']"
Figure of Eight - JD Wetherspoon,"['jd', 'breakfast', 'pints', 'spoons', 'broad street', 'wetherspoons', 'broad', 'bottomless', 'sticky', 'average']"
Hyderabad Wala Birmingham,"['biryani', 'hygiene', 'liver', 'usually', 'piece', 'dishes', 've', 'indian', 'service', 'super']"
Balsall Heath,['nan']
Pho Birmingham,"['couple things', 'awesome', 'things', 'couple', 'rice', 'rice bowl', 'speciality', 'card payments', 'huge definitely', 'gluten intolerant']"
Fumo by San Carlo - Birmingham Waterloo St,"['fumo', 'lobster', 'care', 'worse', 'pasta', 'experience', 'fantastic', 'pizza', 'expensive', 'cocktails']"
Indian Halal,"['nan', 'tasty prices', 'comments', 'nan nan', 'wont', 'stall', 'recommend trying', 'prices reasonable', 'indian', 'trying']"
Yakinori Japanese kitchen - Selly Oak,"['chicken katsu', 'katsu', 'chicken', 'flavourful', 'selly oak', 'staff super', 'oak', 'selly', 'beautifully presented', 'curry']"
Be At One - Birmingham,"['adam', 'bartenders', 'crowd', 'professionalism', 'energy', 'bar', 'night', 'taken', 'tell', 'cocktails']"
Sheldon Inns Ltd,['nan']
Bhancha Nepalese & Indian Cuisine,"['indian', 'presented', 'paneer', 'chicken', 'spiced', 'nepalese', 'chaat', 'tangy', 'saag', 'perfectly spiced']"
200 Degrees Coffee Shop,"['café', 'coffee', '200 degrees', 'coffee shop', 'degrees', '200', 'latte', 'pastries', 'shop', 'brought']"
Muffin Break,"['costed', 'cold', 'muffins', 'takeaway', 'french toast', 'french', 'slice', 'missing', 'toast', 'white']"
Pizza Express,"['waitress', '45', 'amazing', 'smile', 'pretty', 'couldn ask', 'visit beautiful', 'vicki', 'loveliest', 'amazing waitress']"
YO! Birmingham Selfridges,"['sushi', 'soy sauce', 'soy', 'bottle', 'flies', 'fly', '1st', 'sauce', 'sauces', 'quick']"
The Bull Ring Tavern,"['karaoke', 'sunday', 'music', 'years', 'martins', 'settle', 'singing dancing', 'imaginable', 'people really', 'pub drink']"
wagamama birmingham bullring,"['allergies', 'qr', 'qr code', 'code', 'looking forward', 'forward', 'dining experience', 'eating', 'served', 'experience']"
Q+ Social Box,"['nan nan', 'nan', 'birmingham experience', 'experience highly', 'history', 'world', 'highly recommended', 'recommended', 'shop', 'highly']"
Sushi Passion,"['sushi', 'passion', 'chef', 'wifi', 'table', 'birthday', 'authentic', 'working', 'ram', 'waitress asked']"
Cafe Neo.,"['cafe', 'friendly service', 'prices importantly', 'thought bit', 'station staff', 'eatery birmingham', 'soon future', 'cod chips', 'tasty reasonably', 'stopped breakfast']"
Pearce's Shellfish,"['oysters', 'fish', 'fresh', 'today happy', 'want serve', 'imaginable', 'fresh fish', 'fulfilled', 'shellfish', 'crabs']"
Domino's Pizza - Birmingham - Selly Oak,"['domino', 'prepared', 'friendly professional', 'service', 'incredibly friendly', 'selly oak', 'selly', 'oak', 'provided', 'thank']"
Costa Coffee,"['mango', 'costa', 'ice', 'did mango', 'ice drink', 'staff providing', 'wanted share', 'ice drinks', 'job overall', 'just doing']"
Club Paradisco,"['boots', 'cocktails', 'bullring', 'wine', 'view church', 'dj played', 'tropical', 'cushions', 'near city', 'tacky']"
The Brew Bar Lounge,"['interior lovely', 'beer perfect', 'scone', 'touches', 'risk', 'sit outside', 'afternoon tea', 'fish chips', 'sandwiches', 'fish']"
Noir 55 Coffee,"['hours free', 'coffee', 'free', 'games', 'free parking', 'wifi', 'hours', 'parking', 'barista', 'playing']"
The Square Peg - JD Wetherspoon,"['naans', 'fish', 'kids', 'complained', 'chips', 'fish chips', 'ages', 'horrible', 'option', 'size']"
The Shakespeare,"['pint', 'pub', 'busy', 'drink journey', 'chips fresh', 'wales', 'night busy', 'beer perfect', 'meeting friends', 'took star']"
Miyako Teppanyaki,"['waiting staff', 'japanese', 'waiting', 'course', 'value money', 'end', 'portions', 'manager', 'night 4th', 'cooked right']"
Las Iguanas - Birmingham - Arcadian Centre,"['evening enjoyable', 'taken care', 'really stood', 'enjoyable', 'attentive', 'attentive friendly', 'stood', 'absolutely amazing', 'taken', 'positive']"
Khan Palace,"['lamb curry', 'improvements', 'lamb', 'curry', 'biryani', 'major', 'kebab', 'wings', 'takeaway', 'chicken']"
Cuore,"['tapas', 'university', 'pizza', 'amazing got', 'money tapas', 'best pizza', 'friendly staff', 'value', 'vegetable', 'promo']"
M&S Foodhall,"['store', 'cookies', 'guard', 'people', 'security', 'don', 'triple', 'security guard', 'deeply', 'showing']"
Duck and Scholar,"['lot', 'university', 'drinks', 'getting drinks', 'lots memories', 'make drinks', 'bit overpriced', 'people times', 'birmingham university', 'drinks drinks']"
O'Neill's Harborne,"['helen', 'decorated', 'recommend especially', 'happy helpful', 'happy thanks', 'came drink', 'april 2025', 'energetic', 'pressed', 'amenities including']"
Green Man,"['courses', 'breaded', 'lasagne', 'mushrooms', 'area', 'forced', 'creme brulee', 'waiting 30', 'team working', 'deal 13']"
Chai & Crumbs,"['chai', 'wagyu', 'masala chai', 'loaded', 'chai latte', 'meat', 'server', 'masala', 'looking forward', 'looking']"
JD Sports,"['jd', 'sports', 'shoes', 'said', 'collect', '2pm', 'minutes', '120', 'eternity', 'ready']"
Shell,"['fuel', 'amazon', 'shell', 'petrol', 'station', 'petrol station', 'pay', 'car', 'closed', 'claiming']"
Big John's Selly Oak,"['gonna', 'pizza', '99', 'deep', 'chips', 'cancelled', 'home think', 'wings chips', 'chips lady', 'cold chips']"
Sandbox VR,"['vr', 'fun', 'games', 'game', 'birthday', 'insane', 'robot', 'realistic', 'game play', 'videos']"
B&B HOTEL Birmingham Centre,"['hotel', 'breakfast', 'room', '10 30', 'informed', '10', 'responsibility', 'lack', 'app', 'leave']"
Highfield dining,['nan']
Jojolapa Nepalese Bar & Kitchen,"['nepalese', 'soya', 'meets', 'dishes', 'culinary', 'husband', 'indian', 'owner', 'restaurants', 'try']"
"St Bartholomew's, Edgbaston (The Old Church)","['novel', 'church', 'henry', 'web', 'children', 'john', 'site', 'saints', 'joseph', 'joyce']"
Number One Pizza Ltd,['nan']
The Cube,"['room', 'wedding', 'hotel', 'deeply disappointed', 'poor', 'disappointed recommend', 'deeply', 'key', 'disappointed', 'stay']"
Chao Vietfood - Drinks and Banh Mi,['nan']
Chung Ying,"['sum', 'vegetarian', 'pork', 'alongside', 'vegan', 'dumplings', 'rolls', 'noodles', 'gluten free', 'soup']"
BrewDog Birmingham,"['beers', 'taught', 'ipa', 'concept', 'just don', 'burger', 'beer', 'lot', 'table cocktails', 'flavour lot']"
Pieminister,"['pie', 'conversation', 'steak', 'little hard', 'visited lunch', 'sticky toffee', 'decent located', 'straight packet', 'hostile', 'recognised']"
BURGER & SAUCE - Selly Oak,"['burger', 'fries', 'sauce', 'addictive', 'burger juicy', 'wings', 'loaded', 'perfectly', 'flavour', 'burgers']"
Chapter Edgbaston,"['birthday', 'ciabatta', 'soup', 'bowl', 'son', 'tiny', 'roast', 'disappoint', 'cup', 'lamb']"
60 Severn Street,"['serving excellent', 'staff serving', 'excellent definitely', 'birmingham friendly', 'central birmingham', 'central', 'stars', 'serving', 'friendly staff', 'centre']"
Cafe W,"['hell', 'billionaire', 'cortado', 'oasis', 'strong', 'doors', 'calm', 'shopping', 'sweet', 'away']"
Three Church Road Restaurant,"['church', 'road', 'sandwiches', 'retirement', 'ham', 'tuna', 'exquisite', 'afternoon', 'fillings', 'afternoon tea']"
Costa Coffee,"['costa', 'drink', 'prepared', 'drinks', 'store sadly', 'flooding', 'kind open', 'single person', 'having wait', 'drinks highly']"
Malt House,"['beautiful', 'balcony', 'ordering', 'dine', 'canal', 'view', 'able', 'ask', 'drinks', 'local beers']"
The Rose Villa Tavern,"['pub', 'guinness', 'pint guinness', 'benches', 'ale', 'photos', 'jewellery quarter', 'jewellery', 'quarter', 'pint']"
MyCookieDough Birmingham,"['dough', 'cookie', 'cookie dough', 'stack', 'cream', 'lotus', 'oreo', 'overly', 'milkshake', 'ice cream']"
"Black Sheep Coffee - AC Hotel by Marriott, The Mailbox","['coffee', 'coffee shop', 'warm', 'thank', 'wishing', 'service create', 'disappointed quality', 'joseph', 'growing', 'au']"
Citywalk Sips,"['perfect coffee', 'coffee', 'speedy service', 'morning perfect', 'area super', 'quality fresh', 'speedy', 'super convenient', 'service tasty', 'vanilla']"
Pepper Chef,"['cash', '10', 'solid 10', 'menu', 'solid', 'chinese', 'takeaway', 'hot', 'cold chicken', 'extensive menu']"
Felsons - Birmingham,"['hopefully', 'pool', 'disabled', 'play', 'friends', 'using', 'saturday', 'prices didn', 'birmingham bar', 'venue drinks']"
Fruit & Ice Beverages,"['ice', 'matcha', 'pistachio', 'fruit', 'creamy', 'tried', 'sweet', 'places', 'best places', 'pistachio latte']"
"Britannia, Birmingham Grand Central Car Park","['pay', 'reg', 'paid', 'car', 'access', 'plate', 'signage', 'error', 'wrong', 'ramp']"
Karaoke Box Birmingham,"['walk', 'staff kept', 'attentive informative', 'cap', 'ya', 'experience bar', 'fyi', 'recommend 100', 'served attentive', 'waiting staff']"
Damascena Coffee House Birmingham City Centre,"['coffee', 'hamza', 'recommend coffee', 'really quality', 'service definitely', 'chai', 'coffee shop', 'menu', 'quality', 'house breakfast']"
The Avenue Club and Lodge,"['mould', 'shower', 'lodge', 'wash', 'locals', 'sunday lunch', 'sunday', 'room', 'bathroom', 'help']"
Braska Coffee,"['flat white', 'coffee', 'flat', 'white', 'milk', 'greggs', 'drink', 'espresso', 'burnt', 'juice']"
Livingwell Cafe,[]
Lobby on Hill Street,"['afternoon tea', 'lobby', 'afternoon', 'tea', 'holiday', 'peaky blinders', 'blinders', 'peaky', 'holiday inn', 'cream']"
Cherry Red's Cafe Bar,"['baby', 'english', 'traditional', 'helpful', 'drinks', 'keg', 'old baby', 'added bonus', 'grabbing', 'albeit']"
Seip İpe Cafe,['nan']
Boston Tea Party Edgbaston,"['little', 'inside', 'party', 'prices', 'sit', 'parking', 'makes', 'portions', 'stopped breakfast', 'adjust']"
Pret A Manger,"['limit', 'coffee', 'try', 'fresh', 'just', 'electrical', 'yoghurt', 'gave discount', 'morning coffee', 'hehe']"
Wasabi Sushi & Bento,"['train', 'sushi', 'wasabi', 'platform', 'journey', 'takeaway', 'water', 'hot', 'items', 'sit']"
Genting Casino Birmingham Chinatown,"['chinese', 'players', 'machines', 'venue', 'bet', 'socks', 'chinese dishes', 'contactless', 'descent', 'drinks reasonable']"
The Selly Park Tavern,"['dog', 'reasonably priced', 'reasonably', 'group', 'pub', 'priced', 'table number', 'welcomed seated', 'recommend pub', 'main road']"
The Layers,"['strawberry', 'latte', 've', 'welcoming ve', 'birmingham highly', 'aesthetically pleasing', 'new spot', 'absolutely shop', 'aesthetically', 'recommend birmingham']"
Barajee,"['fast efficient', 'feeling rushed', 'views', 'garlic', 'canal', 'rushed', 'feeling', 'wonderful', 'indian', 'returning']"
Kanteen,"['vegan options', 'cappuccino', 'vegan', 'tea', 'work oat', 'cakes display', 'particularly busy', 'lovely looking', 'artisan', 'popped work']"
SOFE STORE,"['designed', 'store', 'quality', 'fast', 'jumped', 'responses', 'available ll', 'store range', 'nicely designed', 'gifts']"
Balcony Bar,"['poor service', 'poor', 'service', 'prestigious', 'woeful', 'waiting service', 'hehe', 'bullring shopping', 'don forget', 'embrace']"
Slug & Lettuce - Birmingham,"['bella', 'came asked', 'said', 'word', 'happened', '10', 'drink', 'sitting', 'overall value', 'course didn']"
Piccolino Birmingham,"['birthday', 'anna', 'thank', 'definitely', 'walked', 'song', 'celebrated birthday', 'birthday lovely', 'nailed', 'kristina']"
Cafe shop,['nan']
Blank Street Coffee,"['blank', 'blank street', 'street', 'vegan', 'queue', 'banana', 'loaf', 'app', 'waste', 'non']"
"Marco Pierre White Steakhouse, Bar & Grill Birmingham","['voucher', 'view', 'steak', 'atmosphere', 'rooftop', 'steaks', 'oily', 'songs', 'rings', 'onion rings']"
Starbucks Coffee Birmingham New Street 3,"['jessie', 'starbucks', 'smile', 'product', 'promotional', 'service truly', 'drink', 'warm smile', 'greeted warm', 'make']"
Sabai Sabai - Harborne,"['thai', 'mo', 'flavour', 'alex', 'harborne', 'just', 'platter', 'sauces', 'cuisine', 'packed']"
McDonald's,"['mcdonald', 'size', 'bread', 'kid', 'hair', 'august', 'happening', 'drive', 'hygiene', 'egg']"
Baloci,"['baloci', 'taster', 'stay', 'persian', 'anniversary', 'experience', 'making feel', 'perfectly', 'taster menu', 'escape']"
Bill’s Bullring Restaurant,"['pancakes', 'breakfast', 'way better', 'try', 'better', 'bottle', 'bottomless', 'said', 'chance', 'friday']"
Cafe 55,"['spring rolls', 'spring', 'pancakes', 'rolls', 'tiny', 'duck', 'try', 'reviews', 'weren fresh', 'service price']"
Restaurant at Birmingham College of Food,"['learning', 'courses', 'guiding', 'lamb', 'pre', 'chefs', 'yummy', 'students', 'eaten', 'plus']"
Tesco Cafe,"['cooked lovely', 'needs met', 'stella', 'little wait', 'staff coffee', 'friendly staff', 'cafe service', 'peak hours', 'tescos', 'service incredible']"
wagamama birmingham brindley place,"['rosie', 'table', 'sat', 'treated', 'table number', 'came', 'lauren', 'received', 'delay', 'lunchtime']"
Buonissimo Restaurant Birmingham,"['chef', 'mark', 'knives', 'delightful', 'want', 'tiramisu', 'hospital', 'forks', 'special', 'didn know']"
Chicken.Com,"['missing', 'past', 'chicken', 'half', 'loads seating', 'prices portion', 'left shocked', 'tasty chicken', 'super lovely', 'wrong told']"
The Trocadero,"['lucy', 'thoughtful touch', 'exceptional warm', 'touch really', 'short exceptional', 'ans', 'helen', 'hesitation', 'sophie', 'visit really']"
THE BUG AND BARREL,"['honey', 'spring', 'fries', 'loaded fries', 'spring roll', 'chilli chicken', 'loaded', 'roll', 'chilli', 'chicken']"
Subway,"['subway', 'smallest', 'west', 'stores', 'slice', 'tomato', 'picked', 'sandwich', 'away', 'serve']"
Bamboo Garden 翠竹轩,"['sweet sour', 'sour', 'sweet', 'private', 'dining', 'chips', 'soup', 'opened', 'pick', 'phone']"
Jens Cafe,"['pressed', 'sliced', 'baguette', 'believe', 'told', 'asked', 'don', 'menu', 'got']"
Pizza Express,"['pizza', 'pizza express', 'express', 'scoop', 'king prawn', 'son', 'prawn', 'shared', 'king', 'partner']"
Amaa Dosaa,"['dosa', 'dosas', 'south', 'biryani', 'paneer', 'curries', 'masala', 'gravy', 'forgot', 'butter']"
KFC,"['kfc', 'closing', 'milkshake', 'hours closing', 'kiosk', 'seating', 'behavior', 'unacceptable', 'disabled', 'orders']"
Frizzenti,"['cocktails', 'prosecco', 'mocktail', 'job', 'bar', 'wont', 'flat', 'just', 'ask', 'trades']"
Bar Estilo,"['tapas', 'lunch', 'set', 'dinner', 'bring friends', 'paella', 'recommended selection', 'chicken thighs', 'visited wife', 'presented did']"
Zizzi - Birmingham Mailbox,"['requests', 'avocado', 'dessert', 'definitely', 'lovely', 'music', 'requests taken', 'drinks lovely', 'notch especially', 'paintings']"
Malmaison Birmingham,"['hotel', 'rooms', 'stay', 'amazing stay', 'spa', 'malmaison', 'lips', 'located', 'easy', 'room']"
Jumpin Jackets,"['garlic butter', 'curry', 'garlic', 'amazing', 'butter', 'jackets', 'amazing amazing', 'apart tasted', 'try amazing', 'butter cheese']"
Starbucks,['nan']
"Giraffe, Grand Central","['stir fry', 'fry', 'stir', 'tough', 'really', 'conversations', 'calamari', 'lovely', 'wasn crowded', 'raise promotion']"
Divine Desserts Birmingham,"['chelsea', 'desserts', 'cake', 'karak', 'karak chai', 'chocolate', 'waffle', 'item', 'chai', 'surprise']"
豆瓣匠Sichuan Cuisine,"['chinese', 'spicy', 'chicken', 'try', 'chicken wings', 'know', 'wings', 'won', 'authentic', 'people try']"
Original Patty Men,"['patty', 'fries', 'burger', 'burgers', 'slaw', 'forward going', 'coleslaw', 'specials', 'special', 'pineapple']"
Tin Sing Chinese Take Away,"['chinese', 'rice', 'pork', 'best chinese', 'rice noodles', 'dry', 'chicken rice', 've', 'chicken', 'tasteless']"
GRiT food & drink,['nan']
Hennessey's Bar,"['sports', 'fab', 'night', 'booked', 'brilliant', 'venue', 'glad booked', 'pre booked', 'rectified', 'quicker']"
The London and North Western - JD Wetherspoon,"['bar', 'fairy', 'people', 'shortly', 'comments', 'long', 'spoons', 'people waiting', 'station', 'waiting']"
O2 Academy Birmingham,"['venue', 'o2', 'sound', 'o2 academy', 'academy', 'night', 'gig', 'ticket', 'night venue', 'venues']"
Pizza Hut Restaurants Birmingham,"['kate', 'kids', 'hut', 'pizza hut', 'pizza', 'half', 'half term', 'free', 'term', 'vegan']"
Bubble Waffles,"['dessert', 'uber', 'creamy', 'vendor', 'rich creamy', 'mocktails', 'kunafa', 'waffle', 'advised', 'overpriced']"
Grosvenor Casino,"['cctv', 'minimum', 'pit', 'bet', 'vodka', 'offered drinks', 'casino', 'miserable', 'incompetent', 'min']"
Tonkotsu Birmingham Selfridges,"['ramen', 'chicken ramen', '10', 'depth', 'staff lovely', '10 10', 'depth flavour', 'lovely think', 'explaining recommending', 'decent option']"
Birmingham,['nan']
Subside Bar,"['rock', 'music', 'electric', 'friendly bar', 'black sabbath', 'sabbath', 'ozzy', 'bar', 'pool', 'atmosphere']"
Travelodge Birmingham Central Bull Ring,"['room', 'travelodge', 'horrible', 'taxi', 'check', 'longer available', 'breakfast', 'stay', 'receptionist', 'zero']"
Depot Climbing Birmingham,"['ella', 'fun', 'routes', 'climb', 'gym', 'shoes', 'sets', 'bars', 'staff welcoming', 'helped']"
Zoroaster,"['baloci', 'exclusive', 'live music', 'bar', 'live', 'cocktails', 'music', 'venue', 'll enjoy', 'service level']"
Birmingham New Street,"['station', 'departure', 'trains', 'platforms', 'stations', 'bull', 'considering', 'better', 'train', 'hard']"
Piri Fino - Selly Oak,"['chips', 'chicken', 'piri', 'reply', 'pasta', 'selly oak', 'till', 'selly', 'oak', 'burger']"
The Alexandra,"['seats', 'theatre', 'row', 'wheelchair', 'entrance', 'bar', 'stage', 'topped', 'shows', 'small']"
Ouro Gold Teeth Birmingham,"['gold', 'teeth', 'jay', 'rated', 'got', 'white', 'work', 'customer', 'person', 'got white']"
Rooster House,"['bones', 'rice', 'white rice', 'wasnt', 'bone', 'chicken', 'health', 'bits', 'dumplings', 'self']"
Harry Ramsden's Selly Oak,"['fish', 'fish chips', 'chips', 'asked refund', 'refund', 'curry sauce', 'curry', 'portions', 'manager', 'wrong kept']"
Subway,"['sub', 'deliveroo', 'ordering', 'machines', 'request', 'mistakes', 'sandwich', 'attitude', 'close', 'store']"
"Radisson Blu Hotel, Birmingham","['room', 'fixed', 'hotel', 'sleep', 'city', 'fan', 'air', 'offered', 'stay', 'working']"
